ProspectiveBuyerKey,ProspectAlternateKey,FirstName,LastName,Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,City,StateProvinceCode,PostalCode
119,7214,Allen,Prasad,56,S,M,50000,2,1,Partial Co,Professional,0,2,San Francisco,CA,94109
161,6464,Anne,Suarez,38,S,F,110000,0,5,Partial Co,Management,1,3,San Francisco,CA,94109
178,85004761815,Austin,Wilson,59,M,M,60000,2,1,Partial Co,Professional,0,1,National City,CA,91950
186,2456,Autumn,Yang,32,M,F,40000,4,4,Partial Co,Clerical,1,2,Chula Vista,CA,91910
257,6951,Brenda,Patel,50,S,F,20000,1,1,Partial Co,Manual,1,0,Downey,CA,90241
268,8855,Brandy,Rodriguez,38,M,F,40000,2,2,Partial Co,Clerical,1,0,Concord,CA,94519
273,69082037210,Bryce,Sanchez,45,M,M,30000,2,2,Partial Co,Clerical,1,1,Torrance,CA,90505
291,7164,Billy,Vazquez,46,S,M,80000,4,3,Partial Co,Professional,1,1,San Gabriel,CA,91776
293,4726,Bruce,Verma,55,M,M,110000,3,4,Partial Co,Professional,1,4,San Francisco,CA,94109
326,75445476174,Connor,Carter,55,S,M,130000,3,4,Partial Co,Professional,1,3,Chula Vista,CA,91910
337,39690621500,Caitlin,Cook,54,M,F,70000,4,3,Partial Co,Professional,1,0,City Of Commerce,CA,90040
372,5592,Clayton,Huang,57,S,M,90000,4,1,Partial Co,Professional,1,2,San Francisco,CA,94109
416,3962,Calvin,Pal,45,M,M,30000,2,2,Partial Co,Clerical,1,1,Berkeley,CA,94704
424,43695159554,Courtney,Perez,56,S,F,50000,2,1,Partial Co,Professional,0,2,Glendale,CA,91203
445,26223351955,Cameron,Ross,47,M,M,90000,4,1,Partial Co,Professional,1,2,Woodland Hills,CA,91364
469,8520,Curtis,Sun,61,M,M,50000,2,1,Partial Co,Professional,1,2,Glendale,CA,91203
512,1894,Donna,Aggarwal,60,S,F,50000,2,1,Partial Co,Professional,0,2,National City,CA,91950
521,3817,Deborah,Bhat,49,M,F,20000,1,1,Partial Co,Manual,1,0,Bell Gardens,CA,90201
581,67,Damien,Nath,46,S,M,80000,4,3,Partial Co,Professional,1,2,Novato,CA,94947
621,10156,Dustin,Tang,53,M,M,70000,2,1,Partial Co,Professional,1,0,El Segundo,CA,90245
641,28033161759,David,Zhang,43,S,M,20000,1,1,Partial Co,Manual,1,1,Mill Valley,CA,94941
642,2336,Darryl,Zhu,43,M,M,20000,1,1,Partial Co,Manual,1,1,Bellflower,CA,90706
681,4159,Ebony,Kapoor,43,S,F,20000,1,1,Partial Co,Manual,0,1,Daly City,CA,94015
696,69299988150,Evan,Morris,38,S,M,20000,1,1,Partial Co,Manual,0,1,Bellflower,CA,90706
699,92489251494,Emma,Powell,47,S,F,100000,0,2,Partial Co,Professional,0,1,Redwood City,CA,94063
733,3360,Frederick,Fernandez,40,S,M,40000,2,2,Partial Co,Clerical,1,0,Bellflower,CA,90706
770,411,Gilbert,Chande,45,M,M,20000,1,1,Partial Co,Manual,0,0,Burlingame,CA,94010
824,45040029883,Haley,Baker,35,S,F,40000,3,3,Partial Co,Clerical,1,0,Camarillo,CA,93010
853,7300,Henry,Rodriguez,54,M,M,110000,3,4,Partial Co,Professional,1,4,City Of Commerce,CA,90040
855,6643,Hector,Rubio,36,S,M,40000,3,3,Partial Co,Clerical,1,2,Concord,CA,94519
868,62103326320,Ian,Butler,57,S,M,80000,4,2,Partial Co,Professional,1,2,Irvine,CA,92614
1003,87603285908,Jacob,Martin,40,M,M,40000,2,2,Partial Co,Clerical,1,2,San Ramon,CA,94583
1027,6601,Jamie,Navarro,50,M,M,70000,5,4,Partial Co,Skilled Manual,1,3,Burbank,CA,91502
1036,97707097530,Julia,Powell,39,S,F,40000,2,2,Partial Co,Clerical,0,1,Lincoln Acres,CA,91950
1078,26783284544,Jonathan,Simmons,40,S,M,40000,2,2,Partial Co,Clerical,0,2,Bellflower,CA,90706
1102,26850017900,Jonathan,Wang,60,M,M,50000,2,1,Partial Co,Professional,1,2,Glendale,CA,91203
1104,13953769207,Jessica,Washington,63,M,F,50000,2,1,Partial Co,Professional,0,1,West Covina,CA,91791
1132,2127,Karl,Bhat,48,S,M,80000,5,4,Partial Co,Professional,0,3,Vista,CA,92084
1134,8695,Kathleen,Blanco,63,S,F,50000,2,1,Partial Co,Professional,0,1,National City,CA,91950
1136,2121,Karl,Chande,62,M,M,50000,2,1,Partial Co,Professional,0,2,Imperial Beach,CA,91932
1197,1868,Kate,Pal,39,M,F,40000,2,2,Partial Co,Clerical,1,1,Concord,CA,94519
1239,8699,Kathleen,Suarez,36,S,F,40000,3,3,Partial Co,Clerical,1,2,Oxnard,CA,93030
1271,8100,Leah,Gao,44,S,F,30000,2,2,Partial Co,Manual,0,0,Santa Monica,CA,90401
1288,8092,Leah,Lin,55,S,F,110000,3,4,Partial Co,Professional,1,4,Glendale,CA,91203
1303,62293945550,Lucas,Patterson,41,S,M,80000,4,3,Partial Co,Professional,0,1,San Gabriel,CA,91776
1317,51217446923,Lauren,Smith,42,S,F,100000,3,2,Partial Co,Professional,0,4,Redwood City,CA,94063
1329,6328,Lori,Vazquez,46,M,F,30000,3,3,Partial Co,Clerical,1,0,Downey,CA,90241
1415,87700161933,Michael,Johnson,54,M,M,70000,4,3,Partial Co,Professional,1,0,Chula Vista,CA,91910
1431,67465185523,Mason,Morgan,46,M,M,30000,2,2,Partial Co,Clerical,1,2,Berkeley,CA,94704
1526,80694301724,Nathan,Allen,48,S,M,80000,5,4,Partial Co,Professional,0,3,Glendale,CA,91203
1574,2157,Nicolas,Shen,48,M,M,70000,5,4,Partial Co,Professional,0,3,Glendale,CA,91203
1581,10575784444,Natalie,Washington,46,S,F,80000,4,3,Partial Co,Professional,1,1,Concord,CA,94519
1588,56982619166,Oscar,Diaz,42,S,M,20000,1,1,Partial Co,Manual,0,1,Los Angeles,CA,90012
1616,7069,Pamela,Gonzalez,47,S,F,30000,3,3,Partial Co,Clerical,0,0,Daly City,CA,94015
1624,9620,Phillip,Patel,49,M,M,100000,3,2,Partial Co,Professional,0,4,Concord,CA,94519
1639,691,Paula,Suarez,55,M,F,110000,3,4,Partial Co,Professional,1,4,Burbank,CA,91502
1751,588,Robyn,Serrano,46,M,F,80000,4,3,Partial Co,Professional,1,1,La Jolla,CA,92806
1774,7842,Ricardo,Xu,48,M,M,70000,5,4,Partial Co,Skilled Manual,1,2,Concord,CA,94519
1788,67806721900,Sean,Bell,56,S,M,80000,3,1,Partial Co,Professional,0,2,Concord,CA,94519
1789,12063557505,Stephanie,Bennett,46,S,F,30000,2,2,Partial Co,Clerical,1,2,Coronado,CA,92118
1802,40658802390,Sophia,Collins,49,M,F,70000,3,2,Partial Co,Professional,1,0,Burlingame,CA,94010
1815,11281548738,Sydney,Griffin,44,S,F,30000,2,2,Partial Co,Manual,0,0,Chula Vista,CA,91910
1860,3658,Sharon,Pal,44,S,F,70000,5,4,Partial Co,Skilled Manual,1,3,Chula Vista,CA,91910
1872,66539683938,Seth,Richardson,40,S,M,40000,2,2,Partial Co,Clerical,1,2,Imperial Beach,CA,91932
1878,970,Shannon,Rubio,41,M,M,30000,3,3,Partial Co,Clerical,0,0,Coronado,CA,92118
1885,3730,Sheena,Sharma,38,M,F,40000,2,2,Partial Co,Clerical,0,0,San Mateo,CA,94404
1925,6222,Theresa,Gil,53,M,F,70000,2,1,Partial Co,Professional,1,0,San Diego,CA,92102
4,4779,Arthur,Arun,35,S,M,50000,0,0,Partial Co,Skilled Manual,1,2,Chula Vista,CA,91910
8,96338913440,Alyssa,Bennett,57,M,F,40000,3,0,Partial Co,Skilled Manual,1,2,Culver City,CA,90232
9,467,Arturo,Bhat,44,M,M,90000,0,0,Bachelors,Professional,1,0,Beverly Hills,CA,90210
27,71785666346,Angel,Collins,33,M,M,30000,0,0,Partial Hi,Clerical,1,2,Burbank,CA,91502
29,36135289072,Alexandria,Cooper,42,S,F,120000,0,0,Bachelors,Management,1,3,Redwood City,CA,94063
37,7346,Andre,Fernandez,35,S,M,20000,0,0,Partial Co,Manual,1,1,Bellflower,CA,90706
47,45254837274,Alexandra,Gonzalez,50,S,F,50000,1,0,Partial Co,Skilled Manual,0,1,Concord,CA,94519
50,96640200614,Alyssa,Griffin,40,S,F,60000,1,0,Graduate D,Professional,1,0,Grossmont,CA,91941
53,81310099363,Alex,Hall,37,S,M,50000,0,0,Graduate D,Skilled Manual,1,0,Fremont,CA,94536
72,11750849485,Amanda,Kelly,57,M,F,30000,1,0,Bachelors,Skilled Manual,0,1,Camarillo,CA,93010
73,10794706300,Alexandra,Kelly,58,M,F,40000,3,0,Partial Co,Professional,0,2,West Covina,CA,91791
76,190,Alvin,Liang,33,M,M,30000,0,0,Partial Hi,Clerical,1,2,Redlands,CA,92373
84,4790,Arthur,Lopez,37,M,M,40000,0,0,Graduate D,Clerical,1,0,Mill Valley,CA,94941
93,85279318094,Alexander,Moore,31,M,M,40000,0,0,High Schoo,Skilled Manual,1,2,Glendale,CA,91203
104,9412,Alicia,Nath,39,S,F,10000,0,0,Partial Hi,Manual,0,2,Chula Vista,CA,91910
114,96121359467,Alyssa,Peterson,39,S,F,60000,1,0,Graduate D,Professional,1,0,Grossmont,CA,91941
132,7350,Andre,Rodriguez,53,M,M,40000,1,0,Partial Co,Clerical,1,1,Carson,CA,90746
146,4814,Arthur,Serrano,46,S,M,30000,1,0,Bachelors,Skilled Manual,1,1,Concord,CA,94519
181,2412,Aimee,Xu,39,M,F,90000,0,0,Partial Hi,Professional,0,4,Bellflower,CA,90706
192,2410,Aimee,Zhao,34,S,F,40000,0,0,High Schoo,Skilled Manual,1,2,Palo Alto,CA,94303
197,2414,Aimee,Zhu,34,M,F,70000,0,0,High Schoo,Management,1,3,Burlingame,CA,94010
200,927,Byron,Alvarez,33,M,M,30000,0,0,Partial Hi,Clerical,1,2,Fremont,CA,94536
206,612,Briana,Blanco,48,M,F,50000,2,0,High Schoo,Skilled Manual,1,2,Novato,CA,94947
209,51687241196,Brianna,Brown,34,M,F,20000,0,0,High Schoo,Manual,1,1,Mill Valley,CA,94941
213,5122,Barbara,Chander,53,M,F,50000,1,0,Partial Co,Skilled Manual,1,1,Trabuco Canyon,CA,92679
215,1470,Bonnie,Chander,76,M,F,30000,1,0,Bachelors,Skilled Manual,0,1,Downey,CA,90241
226,65185887217,Bryce,Gray,45,M,M,80000,0,0,Bachelors,Management,1,1,Lincoln Acres,CA,91950
231,29071954488,Brandon,Hughes,41,M,M,30000,1,0,Bachelors,Clerical,1,0,Chula Vista,CA,91910
235,16813599500,Blake,King,52,S,M,40000,2,0,Partial Co,Clerical,1,1,Santa Ana,CA,92701
240,4055,Brad,Luo,40,S,M,60000,1,0,Graduate D,Professional,1,0,San Gabriel,CA,91776
241,1562,Bryant,Madan,35,M,M,70000,0,0,High Schoo,Management,1,2,Woodland Hills,CA,91364
244,4727,Bruce,Malhotra,44,S,M,50000,0,0,Graduate D,Skilled Manual,1,0,San Ysidro,CA,92173
256,7306,Bobby,Patel,67,M,M,50000,2,0,Graduate D,Management,1,1,Newport Beach,CA,92625
259,64893038272,Bryan,Peterson,41,M,M,70000,5,0,Graduate D,Professional,1,0,Chula Vista,CA,91910
263,6962,Brenda,Raman,73,M,F,60000,3,0,Graduate D,Management,1,2,San Carlos,CA,94070
270,618,Briana,Rubio,64,S,F,50000,5,0,Bachelors,Management,1,4,Imperial Beach,CA,91932
272,1501,Barry,Sanchez,37,M,M,10000,0,0,Partial Hi,Manual,1,2,Chula Vista,CA,91910
281,1975,Bianca,She,69,M,F,90000,5,0,Bachelors,Management,1,2,Bellflower,CA,90706
283,4051,Brad,Shen,75,S,M,10000,1,0,Graduate D,Clerical,0,0,Burlingame,CA,94010
284,16621177792,Blake,Smith,38,S,M,60000,0,0,Graduate D,Professional,0,1,Chula Vista,CA,91910
289,8641,Brandi,Torres,37,S,F,70000,0,0,Partial Co,Professional,1,2,Lemon Grove,CA,91945
297,36044174432,Bailey,Watson,38,S,F,60000,1,0,Graduate D,Skilled Manual,0,0,Concord,CA,94519
300,7990,Bethany,Xie,31,S,F,70000,0,0,Partial Co,Professional,1,2,Lemon Grove,CA,91945
309,161,Cedric,Aggarwal,34,S,M,30000,0,0,High Schoo,Skilled Manual,0,2,Chula Vista,CA,91910
311,8963,Craig,Alvarez,52,S,M,40000,1,0,Partial Co,Clerical,0,1,Concord,CA,94519
316,37584728002,Catherine,Bell,65,S,F,40000,5,0,High Schoo,Professional,1,3,San Diego,CA,92102
317,58958827853,Carson,Bennett,38,M,M,30000,0,0,High Schoo,Manual,1,1,San Jose,CA,95112
320,317,Clarence,Bhat,50,S,M,90000,1,0,Bachelors,Professional,0,1,Concord,CA,94519
336,40667283535,Courtney,Collins,66,M,F,50000,4,0,Bachelors,Management,1,2,Concord,CA,94519
338,39630818963,Catherine,Cook,32,S,F,40000,0,0,High Schoo,Skilled Manual,0,2,Van Nuys,CA,91411
339,81879768371,Cameron,Davis,48,M,M,20000,1,0,Graduate D,Clerical,0,0,Burlingame,CA,94010
365,4334,Carolyn,Hernandez,31,M,F,10000,0,0,Partial Co,Manual,1,1,Long Beach,CA,90802
375,159,Cedric,Jai,38,M,M,70000,5,0,Graduate D,Professional,1,0,San Gabriel,CA,91776
385,156,Cedric,Lal,38,M,M,50000,0,0,Graduate D,Skilled Manual,0,0,Concord,CA,94519
393,6992,Candace,Lopez,55,S,F,40000,1,0,Partial Co,Clerical,0,1,Canoga Park,CA,91303
395,282,Clarence,Lu,33,S,M,30000,0,0,Partial Co,Clerical,1,1,Berkeley,CA,94704
396,134,Cedric,Lu,51,S,M,90000,1,0,Bachelors,Professional,1,1,Newport Beach,CA,92625
407,84027729630,Christian,Miller,30,M,M,10000,0,0,Partial Co,Manual,1,1,Downey,CA,90241
411,3765,Cristina,Nath,38,S,F,90000,0,0,Partial Hi,Professional,1,3,El Cajon,CA,92020
430,310,Clarence,Raje,35,M,M,20000,0,0,Partial Co,Manual,1,1,Burlingame,CA,94010
464,297,Clarence,Shen,41,M,M,40000,0,0,Graduate D,Clerical,0,0,Los Angeles,CA,90012
472,299,Clarence,Tang,68,S,M,80000,5,0,Bachelors,Management,0,2,Burlingame,CA,94010
491,9802,Corey,Xu,44,M,M,40000,0,0,Bachelors,Skilled Manual,1,0,Bellflower,CA,90706
499,8516,Curtis,Ye,64,M,M,60000,4,0,Bachelors,Management,1,2,Citrus Heights,CA,95610
504,8517,Curtis,Zhao,39,S,M,60000,1,0,Graduate D,Professional,0,0,Lincoln Acres,CA,91950
508,2440,Claudia,Zhu,51,S,F,20000,3,0,Partial Hi,Manual,1,2,Chula Vista,CA,91910
509,8521,Curtis,Zhu,75,S,M,40000,3,0,Partial Co,Professional,1,2,Lemon Grove,CA,91945
514,18099750876,Dalton,Allen,67,M,M,90000,5,0,Bachelors,Management,1,2,Citrus Heights,CA,95610
515,8988,Derrick,Alvarez,35,S,M,50000,0,0,High Schoo,Skilled Manual,0,2,San Diego,CA,92102
519,68665924668,Devin,Bailey,63,M,M,50000,5,0,Bachelors,Management,1,3,Imperial Beach,CA,91932
523,8745,Diana,Blanco,32,M,F,50000,0,0,Partial Co,Skilled Manual,1,1,Lakewood,CA,90712
526,45,Damien,Cai,35,S,M,20000,0,0,High Schoo,Manual,0,1,Daly City,CA,94015
531,7430,Denise,Chandra,47,S,F,40000,1,0,Bachelors,Skilled Manual,1,0,Chula Vista,CA,91910
538,975,Dwayne,Diaz,48,S,M,40000,1,0,Partial Co,Clerical,1,1,Chula Vista,CA,91910
549,696,Diane,Gomez,44,S,F,110000,0,0,Graduate D,Management,0,3,Palo Alto,CA,94303
550,8729,Diana,Gomez,64,M,F,60000,4,0,Bachelors,Management,0,2,Concord,CA,94519
561,2327,Darryl,Huang,58,S,M,20000,2,0,Partial Co,Manual,1,1,Chula Vista,CA,91910
562,3807,Deborah,Jai,30,S,F,30000,0,0,High Schoo,Skilled Manual,1,2,Upland,CA,91786
566,18134158253,Dalton,King,44,M,M,50000,0,0,Graduate D,Skilled Manual,1,0,Palo Alto,CA,94303
569,20326188200,Devin,Lewis,49,M,M,60000,1,0,Partial Co,Skilled Manual,1,1,Palo Alto,CA,94303
570,5401,Dawn,Liang,32,S,F,30000,0,0,High Schoo,Manual,0,1,Burlingame,CA,94010
571,9181,Douglas,Lopez,64,M,M,70000,5,0,Bachelors,Management,1,2,Gilroy,CA,95020
583,3994,Drew,Nath,35,M,M,30000,0,0,Partial Co,Clerical,1,1,Torrance,CA,90505
586,4439,Darren,Perez,53,S,M,50000,2,0,High Schoo,Professional,0,2,Chula Vista,CA,91910
605,20410709977,Devin,Scott,37,M,M,50000,0,0,Graduate D,Skilled Manual,1,0,Chula Vista,CA,91910
606,2191,Dale,Shan,75,S,M,40000,3,0,Partial Co,Professional,0,2,Concord,CA,94519
619,9004,Derrick,Suarez,32,S,M,30000,0,0,High Schoo,Manual,1,1,Santa Monica,CA,90401
623,50625317100,Destiny,Thomas,74,S,F,40000,3,0,Partial Co,Professional,0,2,Concord,CA,94519
630,29,Damien,Wu,37,M,M,70000,0,0,Partial Co,Professional,1,2,Beverly Hills,CA,90210
647,9092,Erik,Alonso,39,M,M,80000,0,0,Partial Hi,Professional,0,4,Concord,CA,94519
672,10096,Erica,Guo,71,S,F,20000,1,0,Bachelors,Clerical,0,0,Daly City,CA,94015
682,54390789866,Emily,Lewis,75,S,F,60000,2,0,Graduate D,Management,0,2,San Carlos,CA,94070
700,1163,Erick,Raman,44,S,M,70000,4,0,Graduate D,Professional,1,0,Chula Vista,CA,91910
702,73024621605,Evan,Roberts,42,M,M,80000,0,0,Bachelors,Management,0,1,Concord,CA,94519
704,1222,Evelyn,Sanchez,42,S,F,90000,0,0,Partial Co,Professional,1,1,Redwood City,CA,94063
711,73232830762,Elijah,Turner,68,S,M,90000,5,0,Bachelors,Management,0,2,El Cajon,CA,92020
713,37182074785,Erin,Ward,57,M,F,50000,3,0,Graduate D,Management,1,2,West Covina,CA,91791
714,61408081700,Eduardo,Washington,34,M,M,60000,0,0,Partial Co,Professional,1,2,Burbank,CA,91502
715,27202428000,Ethan,Washington,49,S,M,50000,2,0,High Schoo,Skilled Manual,0,2,West Covina,CA,91791
717,20795623064,Eduardo,Wright,43,S,M,100000,1,0,Bachelors,Management,1,2,Burbank,CA,91502
721,2252,Eugene,Zhou,73,M,M,60000,3,0,Graduate D,Management,0,2,Lemon Grove,CA,91945
750,363,Franklin,Nara,48,M,M,60000,1,0,Partial Co,Skilled Manual,1,1,Fontana,CA,92335
752,15527549982,Fernando,Parker,52,S,M,40000,2,0,Partial Co,Clerical,1,1,Long Beach,CA,90802
754,36425563097,Faith,Richardson,30,M,F,30000,0,0,High Schoo,Skilled Manual,1,2,Concord,CA,94519
772,412,Gilbert,Chander,71,M,M,70000,5,0,Graduate D,Management,1,2,Lemon Grove,CA,91945
776,4691,Gerald,Fernandez,39,M,M,50000,0,0,Graduate D,Skilled Manual,1,0,Concord,CA,94519
781,4690,Gerald,Garcia,37,S,M,50000,1,0,Graduate D,Skilled Manual,0,0,Santa Cruz,CA,95062
787,749,Gloria,Hernandez,44,M,F,50000,0,0,Graduate D,Skilled Manual,1,0,Camarillo,CA,93010
789,751,Gloria,Jimenez,52,M,F,130000,0,0,Graduate D,Management,1,4,El Segundo,CA,90245
794,9647,George,Malhotra,49,M,M,10000,1,0,Bachelors,Manual,1,0,Santa Cruz,CA,95062
799,6819,Gina,Ortega,46,S,F,40000,1,0,Bachelors,Skilled Manual,1,0,Los Angeles,CA,90012
809,12928881000,Gabrielle,Sanchez,35,M,F,30000,0,0,Partial Co,Clerical,1,1,Coronado,CA,92118
811,8955,Gary,Sanz,33,M,M,40000,0,0,Partial Hi,Clerical,1,2,San Carlos,CA,94070
813,3552,Geoffrey,Srini,30,S,M,20000,0,0,Partial Hi,Manual,0,2,Chula Vista,CA,91910
828,1106,Harold,Engineer,32,S,M,30000,0,0,High Schoo,Manual,0,1,Concord,CA,94519
836,58037414000,Hannah,Hughes,30,M,F,30000,0,0,High Schoo,Skilled Manual,0,2,Downey,CA,90241
838,12390030622,Hailey,Kelly,53,S,F,50000,1,0,Partial Co,Skilled Manual,0,1,Concord,CA,94519
852,41263640522,Haley,Roberts,45,S,F,70000,2,0,Graduate D,Professional,0,1,Grossmont,CA,91941
857,12305583953,Hailey,Sanchez,44,M,F,70000,4,0,Graduate D,Professional,1,0,Chula Vista,CA,91910
864,46019057631,Hailey,Wright,52,M,F,50000,4,0,Graduate D,Skilled Manual,1,0,Bellflower,CA,90706
870,3494,Ivan,Chandra,37,S,M,20000,0,0,Partial Hi,Manual,1,2,Coronado,CA,92118
880,19349182800,Ian,Hernandez,38,M,M,60000,1,0,Graduate D,Skilled Manual,1,0,Concord,CA,94519
886,63511400222,Isaiah,Kelly,51,S,M,50000,4,0,Graduate D,Skilled Manual,0,0,Long Beach,CA,90802
889,19421827793,Ian,Nelson,39,S,M,30000,0,0,High Schoo,Manual,0,1,Orange,CA,92867
894,10030158758,Isabella,Ramirez,30,M,F,20000,0,0,Partial Hi,Manual,0,2,Santa Monica,CA,90401
904,41408946514,Isabella,Turner,32,M,F,50000,0,0,Partial Co,Skilled Manual,1,1,Lakewood,CA,90712
908,47790141701,Julia,Allen,38,M,F,60000,0,0,Graduate D,Professional,1,1,Beverly Hills,CA,90210
952,87637655735,Jacob,Garcia,37,M,M,80000,0,0,Bachelors,Management,1,1,Concord,CA,94519
958,635,Joy,Gil,50,S,F,30000,3,0,Bachelors,Clerical,1,0,Spring Valley,CA,91977
962,59431433081,Julian,Gonzales,44,S,M,60000,0,0,Graduate D,Professional,1,0,San Gabriel,CA,91776
969,28999282700,Jordyn,Hayes,68,S,F,70000,5,0,Bachelors,Management,0,2,Concord,CA,94519
970,21255241000,Jordan,Hayes,44,M,M,50000,0,0,Graduate D,Skilled Manual,0,0,Sand City,CA,93955
976,94197571873,Jasmine,Howard,51,M,F,40000,3,0,Graduate D,Clerical,0,0,Chula Vista,CA,91910
979,87587122917,Jacob,Jackson,35,S,M,30000,0,0,Partial Co,Clerical,0,1,Santa Monica,CA,90401
983,4495,Jay,Jimenez,55,S,M,20000,1,0,Bachelors,Clerical,0,0,Downey,CA,90241
987,63779546022,Jeremiah,Kelly,38,S,M,80000,0,0,Bachelors,Management,0,1,Norwalk,CA,90650
995,2235,Jake,Liang,37,S,M,90000,0,0,High Schoo,Management,0,3,Concord,CA,94519
1000,2281,Jessie,Lu,32,M,M,10000,0,0,Partial Co,Manual,1,1,Downey,CA,90241
1017,94083991100,Jasmine,Morgan,66,M,F,60000,4,0,Graduate D,Management,1,2,Burbank,CA,91502
1030,569,Josue,Ortega,67,M,M,30000,1,0,Bachelors,Clerical,1,0,Chula Vista,CA,91910
1037,98388668298,Jennifer,Powell,44,S,F,60000,1,0,Bachelors,Professional,1,1,Concord,CA,94519
1041,9511,Julie,Rai,50,M,F,50000,4,0,Graduate D,Skilled Manual,1,0,Chula Vista,CA,91910
1043,5534,Jon,Raji,43,M,M,40000,0,0,Bachelors,Skilled Manual,1,0,Chula Vista,CA,91910
1051,97394636273,Julia,Rivera,32,S,F,50000,0,0,Partial Co,Skilled Manual,0,2,San Carlos,CA,94070
1058,6272,Joanna,Rubio,48,M,F,60000,1,0,Bachelors,Professional,1,1,Elk Grove,CA,95624
1070,859,Janelle,Sara,33,S,F,40000,0,0,Partial Hi,Clerical,0,2,San Carlos,CA,94070
1101,851,Janelle,Verma,36,S,F,10000,0,0,Partial Hi,Manual,0,2,Berkeley,CA,94704
1106,18308314085,Jeremiah,Williams,41,S,M,60000,1,0,Graduate D,Professional,0,0,Berkeley,CA,94704
1124,4143,Kristi,Alonso,49,M,F,50000,1,0,Partial Co,Skilled Manual,1,1,Chula Vista,CA,91910
1125,725,Kellie,Alvarez,41,M,F,70000,5,0,Graduate D,Professional,1,0,Concord,CA,94519
1130,7361,Kristopher,Arun,36,S,M,10000,0,0,Partial Hi,Manual,0,2,Downey,CA,90241
1161,10122,Kristen,He,72,M,F,70000,4,0,Graduate D,Management,1,2,Lemon Grove,CA,91945
1167,726,Kellie,Jimenez,63,S,F,30000,2,0,Partial Co,Clerical,1,2,Beverly Hills,CA,90210
1172,9475,Kathryn,Kumar,37,S,F,90000,0,0,High Schoo,Management,0,3,National City,CA,91950
1187,38856282800,Kimberly,Morris,66,S,F,70000,5,0,Bachelors,Management,0,2,Burbank,CA,91502
1195,110,Kelvin,Pal,75,M,M,40000,3,0,Partial Co,Professional,1,2,San Bruno,CA,94066
1202,9348,Kristina,Prasad,51,S,F,30000,0,0,Bachelors,Clerical,1,0,Long Beach,CA,90802
1204,1397,Karla,Rai,76,M,F,50000,2,0,Graduate D,Management,1,2,Glendale,CA,91203
1205,9486,Kathryn,Rai,38,S,F,30000,0,0,High Schoo,Manual,0,1,Ontario,CA,91764
1207,7622,Kara,Raje,35,S,F,50000,0,0,Partial Co,Skilled Manual,0,2,San Diego,CA,92102
1243,9901,Katie,Tang,73,M,F,40000,2,0,Bachelors,Management,0,2,Vacaville,CA,95688
1256,10117,Kristen,Zhu,69,M,F,10000,2,0,Partial Co,Manual,0,1,Downey,CA,90241
1263,6332,Lori,Castro,68,M,F,30000,1,0,Bachelors,Clerical,1,0,Concord,CA,94519
1281,62859510779,Lucas,James,36,S,M,50000,0,0,High Schoo,Professional,1,2,Burbank,CA,91502
1284,79035988450,Luis,King,35,S,M,30000,0,0,Partial Co,Clerical,1,1,Chula Vista,CA,91910
1299,14614880084,Lauren,Morris,51,M,F,50000,4,0,Graduate D,Skilled Manual,1,0,Daly City,CA,94015
1332,5511,Lacey,Xie,66,M,F,70000,5,0,Bachelors,Management,1,2,Chula Vista,CA,91910
1333,10007,Laura,Yang,48,S,F,60000,1,0,Bachelors,Professional,1,1,Escondido,CA,92025
1339,44806522130,Madeline,Adams,55,S,F,40000,1,0,Partial Co,Clerical,0,1,Daly City,CA,94015
1348,4388,Marie,Alonso,49,S,F,10000,1,0,Bachelors,Manual,1,0,Long Beach,CA,90802
1361,2025,Martha,Cai,41,S,F,90000,1,0,Graduate D,Management,0,0,Beverly Hills,CA,90210
1364,16573568582,Miguel,Campbell,51,M,M,50000,4,0,Graduate D,Skilled Manual,1,0,Fremont,CA,94536
1365,43056713342,Morgan,Carter,43,M,F,60000,0,0,Graduate D,Professional,1,1,Chula Vista,CA,91910
1369,3915,Maurice,Chande,51,M,M,80000,3,0,Graduate D,Professional,1,0,Concord,CA,94519
1376,39723730683,Makayla,Cook,58,S,F,30000,3,0,High Schoo,Skilled Manual,0,2,San Carlos,CA,94070
1381,7738,Mario,Deng,39,M,M,30000,0,0,High Schoo,Manual,1,1,Oxnard,CA,93030
1390,7395,Molly,Garcia,71,M,F,70000,5,0,Graduate D,Management,1,2,San Carlos,CA,94070
1422,2006,Martha,Liu,38,S,F,80000,0,0,Partial Hi,Professional,1,3,La Jolla,CA,92806
1429,49146792292,Morgan,Moore,45,M,F,80000,0,0,Bachelors,Management,1,1,Glendale,CA,91203
1434,38857023119,Makayla,Morris,34,M,F,70000,0,0,High Schoo,Management,1,2,Woodland Hills,CA,91364
1450,90127062201,Megan,Perry,30,M,F,20000,0,0,Partial Hi,Manual,1,2,Burlingame,CA,94010
1451,31017189025,Mya,Powell,38,M,F,20000,0,0,Partial Hi,Manual,1,2,Concord,CA,94519
1454,7935,Mitchell,Raji,77,M,M,50000,2,0,Graduate D,Management,1,2,Concord,CA,94519
1460,3863,Michele,Rana,71,S,F,90000,5,0,Bachelors,Management,0,2,Concord,CA,94519
